DE	EN	LEN	ROW	TIME
Nun, ich bin nicht davon überzeugt, dass die Arbeit so dringend ist, wie dieser Bericht andeutet,	Well, I'm not convinced that the work is as urgent as this report suggests,	14	10	00:00:10a
also sollten wir vielleicht...	so perhaps we should...	7	20	00:00:16a
Oh, komm schon, das Gebäude stürzt praktisch ein!	Oh come on, the building is practically falling down!	6	30	00:00:18a
Sorry Lin, ich glaube, Tan war noch nicht fertig.	Sorry Lin, I don't think Tan had finished.	8	40	00:00:18b
Wir sind in einer Minute bei Ihnen.	We'll get to you in a minute.	7	50	00:00:22a
Tut mir leid.	Sorry.	1	60	00:00:24a
Wie ich schon sagte, vielleicht sollten wir eine zweite Meinung einholen, bevor wir Geld ausgeben.	As I was saying, perhaps we should get a second opinion before we spend any money.	16	70	00:00:29a
Vielen Dank, Tan.	Thank you Tan.	3	80	00:00:29b
Was ist Ihre Meinung, Walter?	What's your opinion Walter?	4	90	00:00:33a
Nun, soweit es mich betrifft, ist es eine Frage der Sicherheit.	Well, as far as I'm concerned, it's a question of safety.	6	100	00:00:33b
Ich denke also, wir sollten loslegen.	So I think we should go ahead.	7	120	00:00:38a
Wollen Sie damit sagen, dass jemand verletzt werden könnte?	Are you suggesting that someone could get hurt?	8	130	00:00:40a
Meiner Meinung nach, ja.	In my opinion, yes.	4	140	00:00:40b
Wenn Sie mich fragen, besteht die ernste Gefahr eines Unfalls.	If you ask me, there is a serious risk of an accident.	12	150	00:00:40c
Und das Problem ist nicht neu.	And it's not a recent problem.	6	160	00:00:45a
Wollen Sie damit andeuten, dass wir schon früher etwas hätten tun sollen?	Are you implying we should have done something earlier?	9	170	00:00:50a
Sehr viel früher. Das ist ein echtes Problem.	Much earlier. It's a real concern.	2	180	00:00:50b
Hört, hört!	Hear, hear!	2	200	00:00:52b
In diesem Fall stimme ich Ihnen zu.	In that case, I agree.	5	210	00:00:52c
Wir sollten jetzt etwas tun.	We should do something now.	5	220	00:00:59a
Das denke ich auch.	I think so too.	4	230	00:00:59b
Entschuldigen Sie, Frau Vorsitzende.	Excuse me Madame Chairperson.	8	250	00:01:06a
Was ist mit dem Problem mit dem Parken?	What about the problem with parking?	6	270	00:01:07b
Heute Morgen gab es wieder keine Parkplätze.	There were no places again this morning.	7	280	00:01:11a
Vielleicht, wenn Sie pünktlich zur Arbeit kämen.	Maybe if you got to work on time.	8	290	00:01:13a
Alle Kommentare durch den Vorsitzenden, wenn es Ihnen nichts ausmacht, Walter.	All comments through the chair if you don't mind Walter.	10	300	00:01:13b
Parken steht nicht auf der Tagesordnung für diese Sitzung.	Parking isn't on the agenda for this meeting.	8	310	00:01:18a
Vielleicht könnten Sie es für unser nächstes Treffen vorschlagen, Barbara.	Perhaps you could suggest it for our next meeting Barbara.	10	320	00:01:18b
