DE	EN	LENGTH	TAGS	TIME
	So, I'd like to end with a summary of what I've looked at today, and some recommendations.	17	vtt	00:00:14
	The figures show that sales are strongly seasonal, and that customers depend on good information on the showroom floor.	19	vtt	00:00:21
	So I'd like to recommend we concentrate on discounting in the off-seasons, and spend more time on briefing our sales representatives.	21	vtt	00:00:32
	That's all I have for now.	06	vtt	00:00:32
	Are there any questions?	04	vtt	00:00:36
	You mentioned that the sales figures may also reflect economic trends.	11	vtt	00:00:36
	Can you expand on that?	05	vtt	00:00:44
	Well, we are always going to depend on the economy.	10	vtt	00:00:44
	As I understand it, we can look forward to an improvement this year.	13	vtt	00:00:49
	Does that answer your question?	05	vtt	00:00:53
	Are you saying we're in for a period of growth?	10	vtt	00:00:57
	Well, I'm afraid that's a bit outside my area of expertise, but that's what the papers are suggesting.	18	vtt	00:01:03
	If you believe it.	04	vtt	00:01:05
	You suggested that we might be spending too much on advertising.	11	vtt	00:01:05
	Can you clarify that?	04	vtt	00:01:11
	It's hard to quantify without better data.	07	vtt	00:01:15
	Sorry.	01	vtt	00:01:15
	Could you repeat that?	04	vtt	00:01:18
	We don't have the figures to really know how effective our advertising is.	13	vtt	00:01:23
	In my experience you can't do without advertising.	08	vtt	00:01:29
	Time for one last question.	05	vtt	00:01:31
	I have one.	03	vtt	00:01:32
	Yes John?	02	vtt	00:01:33
	Is it time for coffee?	05	vtt	00:01:34
	Okay, we'll wrap up now.	05	vtt	00:01:34
	Thank you for your input everyone.	06	vtt	00:01:40
	Thank you.	02	vtt	00:01:40
	Today we're looking at how to end a presentation, and how to deal with questions.	15	vtt	00:01:51
	Let's look first at how Barbara concludes, or finishes her presentation.	11	vtt	00:01:58
	I'd like to end with a summary of what I've looked at today, and some recommendations.	16	vtt	00:02:02
	Barbara says she'd like to end with a summary, and some recommendations.	12	vtt	00:02:11
	When ending a presentation or a talk, you may do this with a summary - this is a short statement of your main points - with a conclusion, which is a result of all the information you've presented, or recommendations, which are things you think should be done.	48	vtt	00:02:23
	In all cases, they should be clear and concise, or not too long.	13	vtt	00:02:35
	Practise with Barbara some phrases you can use to introduce your final points.	13	vtt	00:02:40
	I'd like to end with some recommendations I'll finish with a summary What can we conclude from all this?	19	vtt	00:02:47
	Listen to the difference between the summary and the recommendations.	10	vtt	00:02:57
	Her summary consists of the main points from her talk about sales figures.	13	vtt	00:03:18
	There are two points.	04	vtt	00:03:18
	Her recommendations are what she thinks the company should do in the future, and there are two of these as well.	21	vtt	00:03:25
	Here are some phrases you can use to introduce a summary and recommendations.	13	vtt	00:03:31
	In summary To summarise I'd like to recommend that My recommendations are Let's look at how Barbara finishes her talk, and asks for questions.	24	vtt	00:03:53
	Here's Barbara with some useful phrases for you to practise if asking for questions.	14	vtt	00:04:05
	I'll answer any questions now.	05	vtt	00:04:11
	Does anyone have any questions?	05	vtt	00:04:11
	At the end of a talk, you may ask for questions, or for comments, or for a general discussion.	19	vtt	00:04:22
	You need to let your audience know what you want them to do, like this: Are there any comments?	19	vtt	00:04:34
	I'd like to open it up for discussion.	08	vtt	00:04:39
	Let's look at how Denise asks a question.	08	vtt	00:04:39
	Denise does two things.	04	vtt	00:04:50
	First she re-states something Barbara said, then she asks her to expand on it, or say more about it.	19	vtt	00:04:57
	It's a good idea when asking a question to state what you think the speaker said, so everyone knows what the question is about.	24	vtt	00:05:08
	You might say You mentioned that You suggested that You stated that In the question you can ask the speaker to respond in different ways.	25	vtt	00:05:17
	Denise asks her to expand, but she could also clarify, or make clearer, or explain further.	16	vtt	00:05:23
	Practise some phrases you can use for this: Can you expand on that?	13	vtt	00:05:38
	Could you explain that a bit further?	07	vtt	00:05:42
	Listen to how Barbara answers Denise's question: Well, we are always going to depend on the economy.	17	vtt	00:05:50
	In her answer Barbara uses the phrase, As I understand it.	11	vtt	00:05:59
	By using this phrase she is signalling that this is not really her area of expertise.	16	vtt	00:06:06
	She is getting her information from somewhere else.	08	vtt	00:06:12
	You could also use phrases like: As far as I know, or My information is that Notice that she also checks whether Denise is satisfied with her answer by saying: Does that answer your question?	35	vtt	00:06:30
	If she wanted to, Denise could ask a further question, but Tan does it for her.	16	vtt	00:06:36
	Tan is asking for clarification.	05	vtt	00:06:45
