DE	EN	LENGTH	TAGS	TIME
	We look at how to make business calls.	08	vtt	00:00:06
	Wilson and Wilson, can I help you?	07	vtt	00:00:11
	Yes, this is Lin Chan from Acme Appliances.	08	vtt	00:00:11
	I'd like to speak to Mr Wilson if he's available please?	11	vtt	00:00:17
	Would that be Mr Wilson Senior or Mr Wilson Junior?	10	vtt	00:00:20
	Mr Wilson senior.	03	vtt	00:00:22
	I'll just see if he's available - hold the line please.	11	vtt	00:00:28
	It's a Lin Chan from Acme.	06	vtt	00:00:33
	I'm sorry, Mr Wilson's in a meeting at the moment.	10	vtt	00:00:33
	May I take a message?	05	vtt	00:00:38
	Yes, could you ask him to phone me please?	09	vtt	00:00:38
	My number's 23115654.	03	vtt	00:00:46
	I'm sorry, I didn't catch your name.	07	vtt	00:00:48
	Lin Chan, Acme Appliances.	04	vtt	00:00:51
	Let me check the number, 23115654.	06	vtt	00:00:56
	That's right.	02	vtt	00:00:57
	I'll pass that message on.	05	vtt	00:00:57
	Thank you.	02	vtt	00:01:03
	Thanks.	01	vtt	00:01:03
	Bye.	01	vtt	00:01:09
	Acme Appliances, Lin Chan speaking.	05	vtt	00:01:12
	This is Tom Wilson returning your call.	07	vtt	00:01:14
	Ah yes, Mr Wilson.	04	vtt	00:01:14
	Thanks for calling back.	04	vtt	00:01:14
	I wanted to set up a meeting with you to discuss your requirements for next year.	16	vtt	00:01:22
	Yes certainly.	02	vtt	00:01:22
	How about Thursday about two-thirty.	05	vtt	00:01:27
	That would be fine.	04	vtt	00:01:28
	Okay, I look forward to seeing you then.	08	vtt	00:01:31
	Thursday, 2.30.	02	vtt	00:01:31
	See you then.	03	vtt	00:01:31
	Goodbye.	01	vtt	00:01:34
	Goodbye .	02	vtt	00:01:34
	When we use the phone we can't see the other person, so we have to listen carefully and speak clearly.	20	vtt	00:01:46
	Often we deal with a switchboard operator or personal assistant, but the language we use on the phone follows conventions.	20	vtt	00:01:59
	When answering the phone, a switchboard operator will usually say the name of the company, then can I help you?	20	vtt	00:02:10
	or How can I help you?	06	vtt	00:02:16
	Or they may not say anything after the name of the company.	12	vtt	00:02:16
	In any case, the caller normally says their name, by saying 'this is' and their name, then the name of their company after the words 'from' or 'of', and then who they would like to speak to.	37	vtt	00:02:33
	Don't wait to be asked, but offer the information.	09	vtt	00:02:33
	On the phone, unless you know the other party personally, always use polite, formal language.	15	vtt	00:02:39
	Wilson and Wilson.	03	vtt	00:02:39
	What do you want?	04	vtt	00:02:49
	Lin Chan here.	03	vtt	00:02:49
	Put me through to Wilson.	05	vtt	00:02:51
	He doesn't want to speak to you.	07	vtt	00:02:51
	Mr Wilson might not want to speak to Lin, but it's not polite to say this.	16	vtt	00:02:58
	Notice that Lin says she wants to speak to Mr Wilson 'if he's available'.	14	vtt	00:03:06
	Often it's not convenient to speak to someone straight away.	10	vtt	00:03:06
	'If he's available' really means, 'If he wants to speak to me at the moment.' Here's some useful phrases for asking for someone on the phone: Is Mr Wilson available please?	31	vtt	00:03:27
	Could I speak to Mr Wilson if he's available?	09	vtt	00:03:33
	Could you put me through to Mr Wilson?	08	vtt	00:03:38
	I'd like to speak to Mr Wilson if possible please.	10	vtt	00:03:43
	So we can say: I'd like to speak to Mr Wilson, or Could I speak to Mr Wilson?	18	vtt	00:03:49
	and If he's available , or If possible And you always add please.	13	vtt	00:03:59
	And another phrase is: Could you put me through please?	10	vtt	00:04:03
	The receptionist says: I'll just see if he's available, then, hold the line please.	14	vtt	00:04:10
	But Mr Wilson isn't available, so this is what she says: I'm sorry, Mr Wilson's in a meeting at the moment.	21	vtt	00:04:19
	'In a meeting' is code for it's not convenient for him to talk at the moment'.	16	vtt	00:04:19
	He may be in a meeting, but he could also be out, or doing something else.	16	vtt	00:04:25
	Here's some phrases to practise, that can be used for this situation.	12	vtt	00:04:31
	I'm sorry, he's in a meeting at the moment.	09	vtt	00:04:41
	I'm sorry, he's not available at present.	07	vtt	00:04:46
	I'm sorry, he's out of the office at the moment.	10	vtt	00:04:46
	And here's one not to use.	06	vtt	00:04:55
	I'm sorry, he's busy.	04	vtt	00:04:57
	Too busy to talk to me obviously.	07	vtt	00:04:57
	To say someone can't talk because they're busy, suggests that your call is not important.	15	vtt	00:05:04
	But the receptionist knows what to say, and to ask if there's a message.	14	vtt	00:05:11
	It's best to keep messages simple and to the point.	10	vtt	00:05:27
	Here are a few simple phrases to use when leaving a message.	12	vtt	00:05:27
	Practise them with Lin.	04	vtt	00:05:33
	Could you ask him to phone me please.	08	vtt	00:05:38
	Could you get him to return my call please.	09	vtt	00:05:42
	If he could call me back, that would be great.	10	vtt	00:05:42
	Of course the important detail here is the actual phone number.	11	vtt	00:05:50
	It's important to pronounce each number carefully.	07	vtt	00:05:55
	Two three, double one, five six five four.	08	vtt	00:06:01
	In America they would probably say: Two three one one, five six five four.	14	vtt	00:06:01
	Try saying these numbers: oh four one four, six eight three one nine double eight two, six double seven six or nine eight eight two, six seven seven six.	29	vtt	00:06:30
	And the receptionist must also make sure she has all the details correct.	13	vtt	00:06:40
	Here are some phrases you can use to check details.	10	vtt	00:06:45
	Could you just repeat the number please?	07	vtt	00:06:54
	Could I have your number again please?	07	vtt	00:06:59
	Would you mind repeating that?	05	vtt	00:06:59
	When Tom Wilson returns her call, Lin answers like this: Ah yes, Mr Wilson.	14	vtt	00:07:07
	How about Thursday at two-thirty?	05	vtt	00:07:20
	First Lin thanks him for calling back.	07	vtt	00:07:27
	She says, Thanks for calling back.	06	vtt	00:07:32
	She could also say, Thank you for returning my call.	10	vtt	00:07:39
	Then she states the purpose of her call, and they make the arrangements for the meeting.	16	vtt	00:07:45
	Because she wants the meeting, Lin lets Wilson suggest a time.	11	vtt	00:07:45
	This is polite, because he is the customer in this situation.	11	vtt	00:07:51
	Then he says, 'I look forward to seeing you then.	10	vtt	00:07:58
	Again, this is a polite way of ending a conversation, as well as being a signal that there is no more to say.	23	vtt	00:08:06
	Notice too, that Lin repeats the day and time of the meeting so that both people are sure about it.	20	vtt	00:08:13
	Let's now just review the key phrases for phone calls when calling someone, and making an arrangement.	17	vtt	00:08:19
	Repeat them with the receptionist and Lin.	07	vtt	00:08:19
	I'll just see if he's available.	06	vtt	00:08:30
	Would you mind holding the line?	06	vtt	00:08:34
	Would you like to leave a message?	07	vtt	00:08:41
	Sorry, I didn't quite catch your name.	07	vtt	00:08:46
	I'd like to speak to Mr Wilson Could you put me through to Mr Wilson?	15	vtt	00:08:56
	This is Lin Chan returning your call.	07	vtt	00:09:01
	Thanks for returning my call.	05	vtt	00:09:04
	I look forward to seeing you then.	07	vtt	00:09:04
	The key points when using the phone are to speak clearly and give essential information.	15	vtt	00:09:11
