DE	EN	LENGTH	TAGS	TIME
	So that's our offer.	04	vtt	00:00:08
	We think it's a fair one, with advantages for both sides.	11	vtt	00:00:13
	Yes, well, we're prepared to consider your offer Ms Chan, if you can accept some conditions.	16	vtt	00:00:18
	And subject to consideration by the board.	07	vtt	00:00:21
	What are the conditions?	04	vtt	00:00:23
	Well, firstly the price you're proposing.	06	vtt	00:00:23
	Would that be variable depending on currency fluctuations?	08	vtt	00:00:29
	The issue is that we're in an unstable environment at the moment - the exchange rate could affect us negatively.	20	vtt	00:00:36
	Us too!	02	vtt	00:00:37
	True, but the problem is that we're tied to the U.S. dollar.	12	vtt	00:00:40
	We could consider hedging against currency in both directions.	09	vtt	00:00:44
	That would be acceptable.	04	vtt	00:00:47
	Another problem we may have is that of supply.	09	vtt	00:00:47
	Our customers often need supply at short notice.	08	vtt	00:00:53
	If we do get large orders, we need to guarantee delivery, so we need to stockpile.	16	vtt	00:00:53
	The difficulty there is the capital outlay.	07	vtt	00:00:58
	How would you feel about a partial offset against our sales?	11	vtt	00:01:04
	You mean a loan.	04	vtt	00:01:06
	I suppose so.	03	vtt	00:01:07
	Would you be agreeable to a deferred payment?	08	vtt	00:01:07
	We can provide security of course.	06	vtt	00:01:12
	I think that would be acceptable.	06	vtt	00:01:12
	Unfortunately, I would need to get Board approval for it.	10	vtt	00:01:19
	Of course.	02	vtt	00:01:20
	Then I think we might have a deal!	08	vtt	00:01:22
	In principle.	02	vtt	00:01:22
	Time to celebrate!	03	vtt	00:01:33
	In negotiations, it's usual for each side to have conditions that make the deal better, or safer for them.	19	vtt	00:01:38
	A condition is a change in the terms of a deal which is necessary before one side or the other agrees.	21	vtt	00:01:45
	Notice that Victor uses language carefully.	06	vtt	00:01:59
	He doesn't say we agree to your offer, he says we're prepared to consider your offer.	16	vtt	00:02:06
	He is signalling to the other side that there is a chance for agreement by using the word consider, which means think about .	24	vtt	00:02:14
	He then makes this conditional by saying, if you can accept some conditions.	13	vtt	00:02:14
	In English, using the word 'if' in this way is called a conditional.	13	vtt	00:02:26
	Victor is saying, We can consider your offer if you can accept some conditions.	14	vtt	00:02:26
	One part of the sentence is conditional on, or depending on the other.	13	vtt	00:02:37
	The negative is also true.	05	vtt	00:02:37
	If they can't accept the conditions, Victor can't consider the offer.	11	vtt	00:02:45
	Notice that Sue adds: subject to consideration by the board.	10	vtt	00:02:45
	'Subject to' is another type of conditional phrase.	08	vtt	00:02:52
	She means, We can agree if the board agrees.	09	vtt	00:03:00
	'Subject to' is a legal phrase meaning 'only if', or 'only after'.	12	vtt	00:03:00
	There are a number of expressions you can use when giving a condition.	13	vtt	00:03:06
	Try them after me: subject to the board's agreement.	09	vtt	00:03:17
	conditional on the board's agreement.	05	vtt	00:03:22
	providing that the board agrees.	05	vtt	00:03:26
	as long as the board agrees.	06	vtt	00:03:31
	on condition that the board agrees.	06	vtt	00:03:31
	Let's look now at Victor's first condition.	07	vtt	00:03:41
	Firstly the price you're proposing.	05	vtt	00:03:41
	When Victor is talking about conditions - he is exploring various scenarios - or things that could happen.	18	vtt	00:04:01
	Notice that he explains what the problem is.	08	vtt	00:04:01
	He says, The issue is that we're in an unstable environment.	11	vtt	00:04:10
	'The issue' means the problem, or the thing that needs discussing.	11	vtt	00:04:15
	Practise with Victor some ways of introducing a problem.	09	vtt	00:04:19
