DE	EN	LENGTH	TAGS	TIME
	Our keynote speaker is a man who I'm sure is very well known to all of you.	17	vtt	00:00:08
	He's Professor of Fruitology at Dubbo University and has written many books on the subject of tropical fruit.	18	vtt	00:00:20
	So without further ado, I'd like to introduce our keynote speaker, Doctor Sam Eriks.	14	vtt	00:00:28
	Thankyou Denise.	02	vtt	00:00:28
	The Honourable Judith Bryant, Minister for Trade, Professor Eric Vogel, Professor of Economics at Wagga University, distinguished guests, ladies and gentlemen.	21	vtt	00:00:42
	Today's topic 'why bananas are bent' is a very significant one in terms both of international trade, and culture.	19	vtt	00:00:49
	In thinking about the topic, I felt it would be appropriate to address briefly the history of bananas and banana farming, the many qualities of bananas, both positive and negative, and of course examine the uses of the banana.	39	vtt	00:01:06
	But first let me tell you a story about a banana.	11	vtt	00:01:14
	Ladies and gentlemen, I hope I've been able to clear up a few misconceptions, and leave you with some new ideas about how we might view bananas in the future.	30	vtt	00:01:25
	We've seen, in looking at their history, that bananas have a significant role in many cultures.	16	vtt	00:01:31
	I've also noted their positive nutritional qualities.	07	vtt	00:01:31
	And in addressing the main question, why bananas are bent, we've learned that the reasons are many and complex.	19	vtt	00:01:44
	Madam Chair, thank you for the opportunity to address the conference today, and thank you ladies and gentleman for your kind attention.	22	vtt	00:01:50
	Making a formal speech to an audience is a scary thing for many people - even more so if it's in a language that is not your first language.	29	vtt	00:02:08
	What are the things you can do to prepare a formal speech in English?	14	vtt	00:02:08
	First of all, let's look at the structure of the speech.	11	vtt	00:02:15
	In a formal situation, like a keynote address, the speaker will be introduced by someone else.	16	vtt	00:02:26
	When introducing a speaker, research their background and accomplishments - that is, the important things they've done, such as books they may have written, important positions they've filled, and of course their proper title or qualifications, such as Professor.	39	vtt	00:02:57
	Here are some useful phrases to use when introducing a speaker.	11	vtt	00:02:57
	Practise them with Denise: Our next speaker is well known to all of you.	14	vtt	00:03:09
	Our next speaker needs no introduction.	06	vtt	00:03:12
	Without further ado, I'd like to introduce Please make him welcome, Doctor Sam Eriks.	14	vtt	00:03:21
	When giving a formal speech to an audience, we need to be aware of protocol.	15	vtt	00:03:30
	Protocol means the proper or customary way of doing things in formal situations.	13	vtt	00:03:37
	Part of the protocol for a formal speech is addressing the audience at the beginning.	15	vtt	00:03:44
	A keynote speaker needs to know who the important people are at the meeting, and address them using their formal titles, starting with the most important people.	27	vtt	00:03:57
	Thank you Denise.	03	vtt	00:03:58
	The Honourable Judith Bryant, Minister for Trade, Professor Eric Vogel, Professor of economics at Wagga University, distinguished guests, ladies and gentlemen.	21	vtt	00:04:15
	If there is a representative of government, such as a minister, they would be acknowledged first, then any other people of particular note.	23	vtt	00:04:23
	Include their title, name and position.	06	vtt	00:04:28
	Then he addresses 'distinguished guests' - this can include anyone who has been invited to attend the event.	18	vtt	00:04:35
	And finally he says 'ladies and gentlemen', which means everyone else.	11	vtt	00:04:43
	What does Doctor Eriks do next?	06	vtt	00:04:43
	He outlines the three main parts of his speech.	09	vtt	00:05:00
	Listen to him again.	04	vtt	00:05:00
	What are the three parts of his talk?	08	vtt	00:05:08
	I felt it would be appropriate to address briefly the history of bananas and banana farming, the many qualities of bananas, both positive and negative, and of course examine the uses of the banana.	34	vtt	00:05:22
	The first one is the history of bananas and banana farming, the second one is the many qualities of bananas, and the third one is the uses of the banana.	30	vtt	00:05:29
	In listing things like this in a speech, it's important to use pauses in speech so that the audience can follow and hear the three points.	26	vtt	00:05:46
	How does it sound without pauses?	06	vtt	00:05:46
	In making a speech, it's important to use pauses to help make your point.	14	vtt	00:05:59
	In the list, pause before each point in the list.	10	vtt	00:06:06
	Pause between sentences, and before making a major point, like this: The point I want to make is this: not all bananas are bent.	24	vtt	00:06:19
	Stress and intonation are important too.	06	vtt	00:06:19
	In saying, not all bananas are bent, Doctor Eriks stresses the word 'all' because it is the most important word in that statement.	23	vtt	00:06:31
	In listing the three parts of his speech, notice how his intonation is rising in the first two parts, and then falling for the last.	25	vtt	00:06:43
	This indicates to the audience he has finished the list: The history of bananas, the many qualities of bananas, and the uses of the banana.	25	vtt	00:06:55
	In describing his topic, he said, I felt it would be appropriate to address and then names the parts of his speech.	22	vtt	00:07:01
	To 'address' something here means to talk about it.	09	vtt	00:07:01
	You could also use words like consider, discuss, outline, cover.	10	vtt	00:07:15
	Pronunciation is important too - it's a good idea to practise your speech out loud, especially any difficult words.	19	vtt	00:07:22
	I've also noted their positive nutritionist, nutrition, nutritional qualities.	09	vtt	00:07:28
	What does Doctor Eriks do next in his speech?	09	vtt	00:07:35
	He says he is going to tell a story about a banana.	12	vtt	00:07:40
	When making a speech, it's good to put in some personal touches - a story of something that happened or a joke.	22	vtt	00:07:51
	We move now to the end of Sam's speech.	09	vtt	00:07:51
	How does he finish?	04	vtt	00:07:56
	Ladies and gentlemen, I hope I've been able to clear up a few misconceptions about bananas, and leave you with some new ideas about how we might view bananas in the future.	32	vtt	00:08:07
	First, he signals that he is ending his speech, by repeating 'ladies and gentlemen'.	14	vtt	00:08:07
	Then he says, I hope I've been able to clear up a few misconceptions.	14	vtt	00:08:13
	By using the present perfect, 'I have been able' he signals that he is talking about his speech up to now.	21	vtt	00:08:26
	Practise with Doctor Eriks some ways of signalling the end of a speech: I hope I've been able to clarify the issue.	22	vtt	00:08:37
	I hope I've addressed the major concerns about this issue.	10	vtt	00:08:44
	Next he restates the major points he's made.	08	vtt	00:08:44
	Notice the use of the present perfect in re-stating these points.	11	vtt	00:09:09
	we've seen I've noted we've learned There are other phrases that could be used in this way: We've observed I've outlined I've referred to, and so on.	27	vtt	00:09:26
	Finally, how does Doctor Eriks wrap up his speech?	09	vtt	00:09:30
	Well, there's a lot more we can say about making formal speeches, but I hope you've learned some useful tips today.	21	vtt	00:09:41
	Thank you for your attention, and I'll see you next time for The Business of English.	16	vtt	00:09:46
