DE	EN	LENGTH	TAGS	TIME
	Thankyou.	01	vtt	00:00:18
	Well, it has been a great pleasure to meet you Sam, and Lin.	13	vtt	00:00:22
	Yes, we've enjoyed meeting you too Victor.	07	vtt	00:00:24
	Yes, it's been great.	04	vtt	00:00:24
	What a pity you have to go home.	08	vtt	00:00:28
	Well, all good things must come to an end.	09	vtt	00:00:28
	But I'm sure we'll meet again.	06	vtt	00:00:32
	Yes, I hope so.	04	vtt	00:00:34
	And good luck with your business.	06	vtt	00:00:34
	I'm sure it will go well.	06	vtt	00:00:38
	And I wish you every success too.	07	vtt	00:00:40
	Well, I think we should drink a toast to the end of the conference, and to ourselves.	17	vtt	00:00:40
	Here's to us.	03	vtt	00:00:45
	Cheers Cheers Cheers.	03	vtt	00:00:53
	We should keep in touch.	05	vtt	00:00:54
	Yes.	01	vtt	00:00:54
	Have I given you my card?	06	vtt	00:00:58
	No - thanks very much.	05	vtt	00:00:58
	Here's mine.	02	vtt	00:01:02
	Do you have a card Lin?	06	vtt	00:01:06
	Thank you.	02	vtt	00:01:07
	I'll send you an email.	05	vtt	00:01:07
	And if you're ever in Singapore, you must look me up.	11	vtt	00:01:14
	We certainly will.	03	vtt	00:01:14
	And you have my number.	05	vtt	00:01:14
	When you're next in Sydney, give me a call we'll have a drink.	13	vtt	00:01:20
	May I take these?	04	vtt	00:01:23
	Well, I'd better get going or I'll miss my flight.	10	vtt	00:01:26
	Have a good flight home.	05	vtt	00:01:26
	Bon voyage.	02	vtt	00:01:29
	Goodbye.	01	vtt	00:01:29
	Until next time.	03	vtt	00:01:37
	For the final program in the series we're looking at some of the phrases you may use when you're saying goodbye to someone - either for a short time, or a long time.	33	vtt	00:01:46
	In our example, Victor is from another country, and he's about to go back home.	15	vtt	00:01:54
	At a conference, he's met Sam and Lin.	08	vtt	00:02:00
	It has been a great pleasure to meet you Sam and Lin.	12	vtt	00:02:03
	We've enjoyed meeting you too Victor.	06	vtt	00:02:05
	There are various phrases you can use to express how enjoyable it was to meet someone.	16	vtt	00:02:09
	Which one you use depends on how well you got to know them.	13	vtt	00:02:15
	Practise some of these phrases with Victor.	07	vtt	00:02:22
	It's been a great pleasure to meet you.	08	vtt	00:02:25
	I have enjoyed meeting you.	05	vtt	00:02:33
	I'm so glad to have met you.	07	vtt	00:02:37
	Nice to meet you.	04	vtt	00:02:37
	The phrase 'nice to meet you' would be used after one short meeting.	13	vtt	00:02:44
	You can also use this phrase when you are introduced to someone.	12	vtt	00:02:51
	What about the replies?	04	vtt	00:02:51
	Practise them with Lin.	04	vtt	00:02:55
	You too.	02	vtt	00:03:00
	It's been a pleasure to meet you.	07	vtt	00:03:00
	And you.	02	vtt	00:03:06
	Glad to have met you.	05	vtt	00:03:06
	Glad to have met you too.	06	vtt	00:03:12
	Notice that the reply should match the statement.	08	vtt	00:03:12
	So if someone says: I have enjoyed meeting you, the reply can be, So have I.	16	vtt	00:03:23
	If someone says, It's been a pleasure to meet you, the reply can be, A pleasure to meet you too, or just And you.	24	vtt	00:03:29
	Victor also says, I'm sure we'll meet again.	08	vtt	00:03:37
	Here are some useful phrases to do with meeting again.	10	vtt	00:03:37
	Practise them with Victor.	04	vtt	00:03:44
	I'm sure we'll meet again.	05	vtt	00:03:48
	Hopefully we'll meet again.	04	vtt	00:03:49
	I hope we'll meet again soon.	06	vtt	00:03:49
	Notice again here that the reply should match the statement, so if someone says, I'm sure we'll meet again, then the reply also uses 'am': So am I.	28	vtt	00:04:05
	After the statement, I hope we'll meet again, the reply should be, So do I.	15	vtt	00:04:17
	Another part of saying goodbye can be wishing someone well for the future.	13	vtt	00:04:21
	Sam proposes a toast.	04	vtt	00:04:25
	Watch how he does this.	05	vtt	00:04:32
	Cheers.	01	vtt	00:04:39
	This is an informal toast.	05	vtt	00:04:40
	Sam says, I think we should drink a toast.	09	vtt	00:04:48
	Another phrase he could use is 'Let's drink to'.	09	vtt	00:04:48
	For example, 'Let's drink to the end of the conference' or 'Let's drink to our future meeting'.	17	vtt	00:04:54
	Then they clink their glasses together and say 'Cheers'.	09	vtt	00:05:02
	Here's another version of the toast: Let's drink to our next meeting.	12	vtt	00:05:08
	Our next meeting!	03	vtt	00:05:09
	Cheers And of course, the toast doesn't have to be alcohol, it can be any kind of drink.	18	vtt	00:05:19
	The next part of their conversation is about keeping in touch, or keeping in contact.	15	vtt	00:05:26
	Repeat the phrases after Sam.	05	vtt	00:05:47
	We must keep in touch.	05	vtt	00:05:51
	We must keep in contact.	05	vtt	00:05:56
	Here's my card.	03	vtt	00:05:59
	Would you like my card?	05	vtt	00:06:01
	Do you have a card?	05	vtt	00:06:01
	The next part of their conversation is about meeting again.	10	vtt	00:06:08
	Listen: And if you're ever in Singapore, you must look me up.	12	vtt	00:06:13
	To 'look someone up' just means to arrange a meeting.	10	vtt	00:06:22
	When Victor says, You must look me up, he is inviting Sam and Lin to meet him if they are in Singapore.	22	vtt	00:06:29
	This is more of a social invitation, than a business one.	11	vtt	00:06:36
	Using the word 'must' is not like an order here - it suggests that Victor will be very happy if Sam sees him in Singapore.	25	vtt	00:06:45
	In the same way, Sam says, Give me a call to Victor.	12	vtt	00:06:45
	It sounds like an order, but in fact it's an invitation.	11	vtt	00:06:51
	It's important to get the intonation - the way you say it - right, so that it sounds like an invitation, and not an order.	25	vtt	00:07:03
	You must look me up when you're in Singapore.	09	vtt	00:07:05
	And if I don't?	04	vtt	00:07:06
	I'll never speak to you again!	06	vtt	00:07:06
	Practise these kinds of invitations with Victor.	07	vtt	00:07:13
	You must look me up next time you're in town.	10	vtt	00:07:19
	You must come and see me.	06	vtt	00:07:24
	Why don't you give me a call when you're in town?	11	vtt	00:07:29
	Ring me if you're in town.	06	vtt	00:07:29
	Finally let's look at how the three friends say goodbye.	10	vtt	00:07:36
	Remember this is a semi-formal situation.	06	vtt	00:07:41
	There are a few ways of saying goodbye but the simplest and best is simply 'good bye'.	17	vtt	00:07:54
	Sam says bon voyage - a French phrase which is also quite common for someone who is travelling.	18	vtt	00:08:07
	Now, let's review and practise some of the phrases we've learnt today.	12	vtt	00:08:11
	Give me a call when you're in town.	08	vtt	00:08:29
	I've enjoyed meeting you.	04	vtt	00:08:32
	I wish you every success for the future.	08	vtt	00:08:35
	May I give you my card?	06	vtt	00:08:41
	Best wishes for the future.	05	vtt	00:08:42
	I hope you have a good flight home.	08	vtt	00:08:42
	The language you use in each situation may be slightly different depending on how well you know the other people, and how friendly you are with them.	27	vtt	00:08:56
	If the situation is social, and you have become quite friendly, you may use slightly less formal language.	18	vtt	00:09:03
	But it's important not to forget the usual expressions of good wishes - such as for a good flight home, and to say how you've enjoyed meeting the other person.	30	vtt	00:09:15
	But don't go too far.	05	vtt	00:09:15
	I'm going to miss you Victor.	06	vtt	00:09:25
	So am I.	03	vtt	00:09:25
	What will we do without you?	06	vtt	00:09:28
	Be strong.	02	vtt	00:09:29
	Will we meet again?	04	vtt	00:09:31
	I know we will.	04	vtt	00:09:35
	Goodbye Victor - and bon voyage.	06	vtt	00:09:37
	You forgot my card!	04	vtt	00:09:37
	Well, I've enjoyed helping you with The Business of English, and I hope you've enjoyed learning some useful phrases and expressions in English and that you'll be able to put them into practice soon.	34	vtt	00:09:52
	Goodbye and good luck!	04	vtt	00:09:52
