DE	EN	LENGTH	TAGS	TIME
	Thank you very much.	04	vtt	00:00:12
	Hello, I don't think we've met.	06	vtt	00:00:12
	Sam Eriks.	02	vtt	00:00:20
	Victor Tang.	02	vtt	00:00:20
	Pleased to meet you.	04	vtt	00:00:22
	And what company are you from Mr Tang?	08	vtt	00:00:24
	OceanWide.	01	vtt	00:00:24
	I'm the sales representative for this region.	07	vtt	00:00:28
	Ah yes.	02	vtt	00:00:28
	I know your company.	04	vtt	00:00:28
	Your business is expanding very rapidly at the moment.	09	vtt	00:00:33
	Yes, we're doing quite well.	05	vtt	00:00:33
	And yourself?	02	vtt	00:00:33
	Who do you work for?	05	vtt	00:00:37
	Actually I work for myself.	05	vtt	00:00:37
	I'm the C.E.O.	03	vtt	00:00:40
	of a small export and packaging company.	07	vtt	00:00:40
	We specialise in seafood.	04	vtt	00:00:44
	It's a growing market.	04	vtt	00:00:46
	Yes, but a very competitive one Mr Tang.	08	vtt	00:00:49
	Please call me Victor.	04	vtt	00:00:51
	Sam.	01	vtt	00:00:51
	Victor, let me introduce you to someone.	07	vtt	00:00:55
	Lin this is Victor Tang he's the regional rep.	09	vtt	00:00:55
	for OceanWide.	02	vtt	00:00:55
	This is Lin Chan, my sales manager.	07	vtt	00:01:01
	How do you do Mr Tang?	06	vtt	00:01:02
	I'm very well thank you.	05	vtt	00:01:02
	Nice to meet you Ms Chan.	06	vtt	00:01:05
	And you.	02	vtt	00:01:07
	Can I get you another drink?	06	vtt	00:01:12
	Thank you.	02	vtt	00:01:17
	Let's look at introductions.	04	vtt	00:01:17
	First how did Sam introduce himself to Victor who he didn't know?	12	vtt	00:01:25
	Sam said hello.	03	vtt	00:01:31
	We can say hello in most situations.	07	vtt	00:01:31
	He also said I don't think we've met.	08	vtt	00:01:31
	This is a good phrase to use if you want to meet someone new.	14	vtt	00:01:42
	Practise saying Hello, I don't think we've met, and then say your name.	13	vtt	00:01:49
	Hello.	01	vtt	00:01:49
	I don't think we've met Victor Tang.	07	vtt	00:01:57
	Victor replied by saying his name and pleased to meet you.	11	vtt	00:02:02
	Pleased to meet you is a good formal greeting for most situations.	12	vtt	00:02:02
	After Sam introduces himself, say your name, and 'pleased to meet you'.	12	vtt	00:02:15
	And the Western tradition is to shake hands when you meet someone.	12	vtt	00:02:23
	Usually, when we first meet someone in a business situation, we want to find out what they do - what their job, or position is.	25	vtt	00:02:34
	Let's see how Victor and Sam do this.	08	vtt	00:02:39
	Sam asks and what company are you from?	08	vtt	00:03:02
	There are a few different ways you could ask this question: Let's try some of them: What company are you from?	21	vtt	00:03:16
	Which company do you represent?	05	vtt	00:03:21
	What's your line of business?	05	vtt	00:03:29
	Now you try answering Sam's question with your own answer, saying what company you are from...	16	vtt	00:03:35
	And what company are you from?	06	vtt	00:03:38
	Ah yes, I know that company.	06	vtt	00:03:43
	And you can be more specific by asking about someone's job.	11	vtt	00:03:43
	Practise these...	02	vtt	00:03:48
	And what's your position there?	05	vtt	00:03:53
	And what do you do there?	06	vtt	00:03:53
	Position means the same as job, but it's a more formal term.	12	vtt	00:04:00
	Listen to how both Sam and Victor describe their positions: I'm the sales representative for this region.	17	vtt	00:04:11
	We describe our job by saying I am or I'm and then naming the position.	15	vtt	00:04:16
	Notice that Sam says he is the C.E.O.	08	vtt	00:04:23
	or Chief Executive Officer of his company.	07	vtt	00:04:23
	When someone asks who you work for, it can be useful to also tell them what your job is.	19	vtt	00:04:32
	When meeting someone, it helps them if you offer information before they ask.	13	vtt	00:04:39
	This makes the conversation more relaxed.	06	vtt	00:04:45
	Now Sam is going to ask you who you work for and what your position is - answer his questions with your own answers: And what company are you from?	30	vtt	00:04:58
	I'm from...	02	vtt	00:04:58
	I'm the...	02	vtt	00:05:06
	Oh really.	02	vtt	00:05:06
	That's interesting.	02	vtt	00:05:06
	Now, the business of names.	05	vtt	00:05:06
	Should we use formal titles, such as Mr, Mrs or Ms, or should we use informal, more familiar names.	19	vtt	00:05:13
	Let's see how Victor solves this problem: It's a growing market.	11	vtt	00:05:25
	Sam uses Victor's formal title - Mr Tang.	08	vtt	00:05:32
	But Victor says Please call me Victor.	07	vtt	00:05:32
	Now that they have met, it's more comfortable for them to use each other's first names - at least in this less formal situation.	24	vtt	00:05:45
	Practise saying Please call me, and your first name after Sam's statement.	12	vtt	00:05:53
	Please call me...	03	vtt	00:05:58
	Sam introduces Victor to someone else.	06	vtt	00:05:58
	Let's watch how he does this.	06	vtt	00:06:06
	Lin - this is Victor Tang - he's the regional rep.	11	vtt	00:06:13
	Sam says let me introduce you to someone.	08	vtt	00:06:21
	This is a very useful phrase.	06	vtt	00:06:21
	Practise saying it after Sam: Let me introduce you to someone.	11	vtt	00:06:36
	When Sam introduces Lin, he has four pieces of information.	10	vtt	00:06:36
	Listen carefully to what they are: This is Victor Tang, he's the regional rep.	14	vtt	00:06:45
	Did you hear the four parts of Sam's introduction?	09	vtt	00:06:52
	First, he told Lin Victor's full name.	07	vtt	00:06:52
	Second, he told her what Victor's position was and his company name.	12	vtt	00:06:58
	Third, he introduced Lin using her full name, and finally he told Victor what Lin's job was.	17	vtt	00:07:05
	This way both Victor and Lin know enough about each other to start a conversation.	15	vtt	00:07:14
	When introducing people at a function, it's important to try to make them feel comfortable.	15	vtt	00:07:24
	Finally, listen again to how Lin and Victor greet each other: How do you do Mr Tang?	17	vtt	00:07:32
	Lin uses the phrase how do you do.	08	vtt	00:07:35
	Practise this phrase: How do you do?	07	vtt	00:07:44
	How do you do is another formal phrase for introductions.	10	vtt	00:07:49
	Victor replies with a formal phrase too I'm very well thankyou.	11	vtt	00:07:49
	Practise this after Lin's question.	05	vtt	00:07:57
	If someone says How do you do?	07	vtt	00:08:02
	or How are you?	04	vtt	00:08:08
	we usually say I'm very well thankyou.And we could ask them how they are, by saying How do you do?	20	vtt	00:08:15
	Let's review some of the phrases we've learnt today, for introducing yourself and other people.	15	vtt	00:08:24
	Practise the phrases with our characters Sam, Victor and Lin.	10	vtt	00:08:30
	Let me introduce you to someone.	06	vtt	00:08:43
	Nice to meet you.	04	vtt	00:09:08
	Remember, when meeting people, tell them something about yourself before being asked.	12	vtt	00:09:18
	When you ask people questions about themselves in English, use a falling tone - it sounds friendlier.	17	vtt	00:09:23
	Instead of Who do you work for?	07	vtt	00:09:23
	And when introducing a colleague, or someone you've met, use the full names of both people, and their positions.	19	vtt	00:09:38
	And that's all for today on The Business of English.	10	vtt	00:09:38
	I'll see you next time.	05	vtt	00:09:38
