DE	EN	LENGTH	TAGS	TIME
	Well, it's been good to meet you Sam, and very interesting to hear about your business.	16	vtt	00:00:13
	Look, we are having a small dinner for some of our clients and friends after this.	16	vtt	00:00:13
	Why don't you join us?	05	vtt	00:00:19
	That's very kind of you.	05	vtt	00:00:19
	I'll just check with my associate whether they have other arrangements for us.	13	vtt	00:00:23
	Your associate is most welcome to join us too.	09	vtt	00:00:26
	Thank you - excuse me.	05	vtt	00:00:27
	This is Sam Eriks from Eriks imports.	07	vtt	00:00:27
	He has very kindly invited us to a dinner.	09	vtt	00:00:37
	Yes, would you like to join us?	07	vtt	00:00:39
	Unfortunately I have another engagement, but thank you for the invitation.	11	vtt	00:00:42
	Well, perhaps you could join us after that for a drink?	11	vtt	00:00:46
	Sounds great, I'd be happy to.	06	vtt	00:00:46
	Where shall we meet?	04	vtt	00:00:51
	How about the lounge bar here, at about ten?	09	vtt	00:00:54
	I'll see you then.	04	vtt	00:00:54
	Excuse me.	02	vtt	00:00:57
	Lin.	01	vtt	00:00:57
	Victor's joining us for dinner.	05	vtt	00:00:59
	Oh wonderful.	02	vtt	00:01:01
	I hope you don't mind.	05	vtt	00:01:02
	Of course not, you're most welcome.	06	vtt	00:01:05
	Well, shall we make a move?	06	vtt	00:01:07
	Would you mind if I just say goodbye to a few people?	12	vtt	00:01:10
	No problem - we'll see you outside in a few minutes.	11	vtt	00:01:12
	Okay.	01	vtt	00:01:19
	Let's look at invitations.	04	vtt	00:01:19
	How do you go about inviting someone to something?	09	vtt	00:01:19
	How does Sam invite Victor to his dinner?	08	vtt	00:01:26
	Look, we're having a small dinner for some of our clients and friends after this.	15	vtt	00:01:30
	Spoken invitations in this kind of situation are semi-formal.	09	vtt	00:01:34
	It's more like a suggestion than a formal invitation.	09	vtt	00:01:41
	There are a few different phrases you can use.	09	vtt	00:01:41
	Practise them with Sam.	04	vtt	00:01:48
	Perhaps you could join us?	05	vtt	00:01:58
	It would be great if you could join us.	09	vtt	00:02:03
	Would you like to join us?	06	vtt	00:02:03
	Notice that even though, It would be great if you could join us is not in a question form, it is still being used as a question.	27	vtt	00:02:17
	Notice also how we use could and would in polite invitations, not can or will.	15	vtt	00:02:17
	How does Victor reply?	04	vtt	00:02:26
	He says, That's very kind of you.	07	vtt	00:02:29
	When replying to an invitation, first thank the other person for the invitation, then give your answer.	17	vtt	00:02:35
	Here's Victor with some different ways of doing this: Thank you.	11	vtt	00:02:47
	That sounds good.	03	vtt	00:02:50
	And you can put them all together, like this: Thank you.	11	vtt	00:02:57
	Sounds good.	02	vtt	00:03:00
	After thanking the person who asked, you need to give an answer, either accept the invitation, or don't accept the invitation, or give a reason why you can't answer.	29	vtt	00:03:12
	What does Victor do?	04	vtt	00:03:16
	Victor says he has to check with someone else.	09	vtt	00:03:26
	If there are other arrangements, Victor would make an excuse.	10	vtt	00:03:26
	When refusing an invitation, you should give a reason.	09	vtt	00:03:32
	Look at this: Would you like to join us?	09	vtt	00:03:38
	No thanks.	02	vtt	00:03:39
	Oh - right.	03	vtt	00:03:39
	It's rude just to say no without a reason, and the reason should be a good one.	17	vtt	00:03:46
	Look again.	02	vtt	00:03:49
	No thanks, it doesn't sound very interesting.	07	vtt	00:03:54
	Oh.	01	vtt	00:03:54
	Sam would rightly be offended by that reply.	08	vtt	00:04:00
	So what are some ways of making a polite excuse?	10	vtt	00:04:00
	Listen to Walter.	03	vtt	00:04:05
	Walter doesn't need to say what his other engagement, or appointment is - just that he has already made another commitment.	21	vtt	00:04:16
	Notice that he still thanks Sam for the invitation.	09	vtt	00:04:24
	Practise with Walter some other ways of making an excuse.	10	vtt	00:04:29
	Unfortunately I have another engagement.	05	vtt	00:04:34
	I'm afraid I have another commitment.	06	vtt	00:04:36
	I can't I'm sorry.	04	vtt	00:04:36
	Perhaps another time?	03	vtt	00:04:36
	By saying, Perhaps another time, Walter is being polite and friendly, rather than just declining the invitation.	17	vtt	00:04:46
	Notice that he says, I can't.	06	vtt	00:04:53
	This implies that he has another commitment, without having to say what that commitment is.	15	vtt	00:04:59
	This is acceptable in business.	05	vtt	00:05:06
	Sam and Walter make another arrangement.	06	vtt	00:05:06
	Watch how they do this.	05	vtt	00:05:10
	Perhaps you can join us after that for a drink?	10	vtt	00:05:12
	That sounds great.	03	vtt	00:05:12
	I'd be happy to.	04	vtt	00:05:12
	How about the lounge bar here, about ten?	08	vtt	00:05:21
	Sam says, Perhaps you could join us after that for a drink?	12	vtt	00:05:25
	By saying perhaps he is leaving the invitation open.	09	vtt	00:05:30
	Walter is under no pressure to accept.	07	vtt	00:05:30
	Practise these phrases using perhaps with Sam.	07	vtt	00:05:38
	Perhaps you'd like to join us later?	07	vtt	00:05:45
	Perhaps you'd be interested in meeting us for breakfast?	09	vtt	00:05:51
	Perhaps we could meet later in the week?	08	vtt	00:05:51
	Notice that Sam says you'd.	05	vtt	00:05:51
	You'd is short for you would.	06	vtt	00:06:08
	Walter accepts and they make the arrangement.	07	vtt	00:06:08
	Notice the slightly less formal way Walter accepts.	08	vtt	00:06:13
	You can use these simple phrases to accept an invitation.	10	vtt	00:06:21
	Practise them.	02	vtt	00:06:21
	I'd love to.	03	vtt	00:06:33
	Walter says, Where shall we meet?	06	vtt	00:06:33
	You can use shall or will, but shall we is a common usage in questions, simply because it is easier to say than will we.	25	vtt	00:06:48
	Shall is also used when asking for, or making suggestions.	10	vtt	00:06:48
	Let's look at how Sam makes the arrangement: How about the lounge bar here, at about ten?	17	vtt	00:07:02
	By asking, Where shall we meet?	06	vtt	00:07:02
	Walter is leaving the details of the arrangement up to Sam.	11	vtt	00:07:07
	Sam gives a place and a time, but because this is an informal meeting, he doesn't make it sound like an appointment.	22	vtt	00:07:20
	He says, How about the lounge bar?	07	vtt	00:07:20
	How about invites the other person to say if it is not convenient.	13	vtt	00:07:26
	And he says, At about ten?	06	vtt	00:07:26
	as a question.	03	vtt	00:07:32
	This also leaves room for the other person to suggest a different time.	13	vtt	00:07:32
	Practise these two phrases with Sam.	06	vtt	00:07:39
	Listen carefully to Sam's voice, and whether he uses a rising or falling tone.	14	vtt	00:07:45
	How about the lounge bar here?	06	vtt	00:07:51
	About ten?	02	vtt	00:07:51
