DE	EN	LENGTH	TAGS	TIME
	Another drink sir?	03	vtt	00:00:08
	No thankyou.	02	vtt	00:00:09
	Excuse me - is anyone sitting here?	07	vtt	00:00:17
	No - please have a seat.	06	vtt	00:00:19
	That's better - my feet are killing me!	08	vtt	00:00:22
	Have you been here long?	05	vtt	00:00:23
	No, but I just flew in this morning, and I haven't had a chance to sit down since then.	19	vtt	00:00:28
	Oh, where have you come from?	06	vtt	00:00:31
	From Manila.	02	vtt	00:00:33
	Is this your first visit to Australia?	07	vtt	00:00:35
	No, I have been once before, but it was a long time ago.	13	vtt	00:00:39
	And have you been to Sydney before?	07	vtt	00:00:41
	No, it's an amazing city.	05	vtt	00:00:45
	Yes, it has its points.	05	vtt	00:00:45
	But you're lucky to live in Manila.	07	vtt	00:00:45
	It's a fascinating city.	04	vtt	00:00:50
	What about yourself?	03	vtt	00:00:50
	Do you live in Sydney?	05	vtt	00:00:54
	No, I live in Melbourne.	05	vtt	00:00:54
	I'm just here for the conference.	06	vtt	00:00:57
	I'm going to Melbourne later.	05	vtt	00:00:57
	What's the weather like there?	05	vtt	00:01:02
	Not too good in winter, but at the moment it should be okay.	13	vtt	00:01:07
	So, how's your hotel?	04	vtt	00:01:10
	It's good.	02	vtt	00:01:10
	Very convenient - just near the harbour.	07	vtt	00:01:14
	Have you seen the Opera House yet?	07	vtt	00:01:16
	Yes, we flew right over it!	06	vtt	00:01:20
	Excuse me - there's someone I must talk to.	09	vtt	00:01:20
	It's been very nice to meet you.	07	vtt	00:01:20
	I'm Walter by the way.	05	vtt	00:01:26
	You too.	02	vtt	00:01:26
	I'm Sue.	02	vtt	00:01:26
	Perhaps we'll meet later.	04	vtt	00:01:36
	I hope so.	03	vtt	00:01:40
	Today we're looking at a typical conversation you might have with someone you've only just met - at a conference for example.	22	vtt	00:01:45
	What sort of thing can you talk about - and what topics should be avoided?	15	vtt	00:01:51
	Let's look at how Walter and Sue get acquainted.	09	vtt	00:01:57
	Sue breaks the ice, or starts the conversation.	08	vtt	00:01:57
	Excuse me, is anyone sitting here?	06	vtt	00:02:04
	No, please have a seat.	05	vtt	00:02:04
	We can tell from how Sue speaks to Walter, that they haven't met before.	14	vtt	00:02:10
	She is very polite, and so is he.	08	vtt	00:02:15
	But then she says something more personal, and this is the icebreaker.	12	vtt	00:02:23
	That's better.	02	vtt	00:02:23
	My feet are killing me.	05	vtt	00:02:23
	Sue is letting Walter know two things - firstly that she is tired, and secondly that she is willing to have a friendly conversation with him.	26	vtt	00:02:36
	By making a more personal, or casual remark, she is inviting him to respond.	14	vtt	00:02:43
	Walter asks, Have you been here long?	07	vtt	00:02:54
	To start a conversation like this, it's fairly safe to talk about what people have just done.	17	vtt	00:03:01
	For this, we use the present perfect -have.	08	vtt	00:03:01
	Practise with Walter some typical questions like this you could ask.	11	vtt	00:03:07
	Have you been to Sydney before?	06	vtt	00:03:18
	Have you seen the Opera House?	06	vtt	00:03:22
	Have you tried any restaurants?	05	vtt	00:03:22
	Questions that start with have you are yes/no questions, so they have a rising tone: Have you been here long?	20	vtt	00:03:36
	When answering these questions in a situation like this it is helpful to add some information, not just say yes or no.	22	vtt	00:03:45
	If you just say yes or no, people may think you don't really want to talk.	16	vtt	00:03:51
	No.	01	vtt	00:03:55
	Oh.	01	vtt	00:03:55
	Instead - notice how Sue helps the conversation along by giving some extra information.	14	vtt	00:04:01
	Sue has said that she flew in this morning.	09	vtt	00:04:16
	So this gives Walter an obvious next question.	08	vtt	00:04:19
	Where have you come from.	05	vtt	00:04:23
	This is a different type of question - it's asking for information.	12	vtt	00:04:29
	Questions beginning with where, when, what, why, who are all questions asking for information.	14	vtt	00:04:38
	Notice the difference between, Where have you come from?	09	vtt	00:04:38
	meaning where did you fly from, and Where are you from?, meaning what is your nationality.	16	vtt	00:04:51
	Notice also the falling tone with these questions: 'Where have you come from?' This makes the question sound friendly.	19	vtt	00:04:57
	But be careful not to ask too many questions like this all together - the other person may think you're being too nosy.	23	vtt	00:05:09
	Where are you from?	04	vtt	00:05:10
	Manila.	01	vtt	00:05:11
	What do you do?	04	vtt	00:05:13
	I'm an accountant.	03	vtt	00:05:14
	Why are you here?	04	vtt	00:05:16
	I'm on business.	03	vtt	00:05:18
	Who are you with?	04	vtt	00:05:19
	My boss.	02	vtt	00:05:19
	Excuse me.	02	vtt	00:05:23
	Where are you going?	04	vtt	00:05:23
	Of course, some questions like this are alright but try not to sound too inquisitive and offer some information or ideas yourself.	22	vtt	00:05:35
	Sue doesn't just answer yes or no - she adds some extra information.	13	vtt	00:05:52
	And Walter finds the opportunity to give his opinion, and to compliment the place Sue comes from.	17	vtt	00:05:59
	Now it's Sue's turn to ask a question.	08	vtt	00:06:07
	Sue wants to ask Walter about himself - this is showing interest.	12	vtt	00:06:15
	So she says, What about yourself?	06	vtt	00:06:25
	Practise some useful phrases to introduce a question.	08	vtt	00:06:29
	And what about yourself?	04	vtt	00:06:33
	And how about you?	04	vtt	00:06:33
	These phrases should be followed by a question.	08	vtt	00:06:40
	Practise again, with the question to follow.	07	vtt	00:06:40
	Have you been here before?	05	vtt	00:06:47
	When meeting someone new on business, but in a social setting, there are a few safe topics.	17	vtt	00:06:58
	We can talk about travel and accommodation, basic questions about the other person, about the city you are in, interesting sights to see, and of course, the weather.	28	vtt	00:07:11
	Finally, let's look at how Walter ends the conversation.	09	vtt	00:07:24
	He needs to make sure the other person doesn't think he is bored.	13	vtt	00:07:29
	Excuse me, there's someone I must talk to.	08	vtt	00:07:36
	He gives a reason why he must go, then says, It's been very nice to meet you.	17	vtt	00:07:47
	Practise some useful phrases for ending a conversation, with Walter and Sue.	12	vtt	00:07:54
	Well, it's been very nice to meet you.	08	vtt	00:08:00
	Nice to meet you too.	05	vtt	00:08:03
	It's been good to meet you.	06	vtt	00:08:04
	I have enjoyed talking to you.	06	vtt	00:08:11
	So have I.	03	vtt	00:08:15
	I hope we can meet again.	06	vtt	00:08:17
	So do I.	03	vtt	00:08:22
	Perhaps we'll meet again.	04	vtt	00:08:25
	In conversation, when asking questions remember to use a rising tone for yes/no questions such as those starting with 'do you' or 'are you.' Questions starting with 'Do you' ask about regular actions, and about likes and dislikes, or opinions: Do you travel often?	44	vtt	00:08:50
	Do you like the weather here?	06	vtt	00:08:52
	Do you think this session will be interesting?	08	vtt	00:08:56
	Questions starting with 'Are you' are asking for personal information: Are you from Manila?	14	vtt	00:09:01
	or intentions: Are you going to the dinner?	08	vtt	00:09:04
	Questions starting with where, when, what, why or who are asking for information, and they often have a falling tone: Where do you come from?	25	vtt	00:09:16
	When are you going back?	05	vtt	00:09:22
	People from different cultures have different ideas about what are reasonable topics for conversation between strangers so at first, it is safest to stick to general topics such as travel, the weather, places, and of course the business you are in.	41	vtt	00:09:39
	And remember, to keep the conversation going, offer information, don't just ask questions.	13	vtt	00:09:48
	That's all today on the Business of English.	08	vtt	00:09:48
	See you next time.	04	vtt	00:09:48
