DE	EN	LENGTH	TAGS	TIME
	Has everybody got a copy of the agenda?	08	vtt	00:00:11
	Would you mind taking minutes John?	06	vtt	00:00:15
	Not at all.	03	vtt	00:00:16
	Good.	01	vtt	00:00:16
	Well, then let's get started.	05	vtt	00:00:19
	First of all, thank you everyone for attending at short notice.	11	vtt	00:00:25
	As you know, the objective of this meeting of the Capital Works Committee is to discuss a proposal for some urgent building work at our Southside plant.	27	vtt	00:00:30
	As we've got to reach a decision which may involve spending, we'll run it as a formal meeting.	18	vtt	00:00:40
	Now, you've read the proposal, so without further ado, I'd like to open it up for discussion.	17	vtt	00:00:45
	Perhaps if we can start with you Tan - what's your view?	12	vtt	00:00:50
	Well, I'm not convinced that the work is as urgent as this report suggests, so perhaps we should So, to sum up, I think we are all aware that some urgent work does need to be done, and we will need to work on a longer term plan for a major refit.	52	vtt	00:01:10
	Well, if there's no more discussion, we'll put it to a vote.	12	vtt	00:01:10
	We're recommending that tenders be called for the urgent work needed.	11	vtt	00:01:15
	All those in favour?	04	vtt	00:01:21
	All those against?	03	vtt	00:01:23
	Then that's agreed.	03	vtt	00:01:23
	Any other business?	03	vtt	00:01:23
	Then we'll close the meeting.	05	vtt	00:01:23
	Thank you everyone.	03	vtt	00:01:30
	The next meeting will be in two weeks, at the same time.	12	vtt	00:01:41
	Meetings.	01	vtt	00:01:41
	We love them or hate them - but we have to have them.	13	vtt	00:01:41
	Of course there are many different kinds of meetings, from an informal chat, to a board meeting, or even an Annual General Meeting - and some are more formal than others - and so the language used in them changes.	40	vtt	00:02:04
	Today we're looking at a more formal meeting and in particular at the role of the chairperson or the person who runs the meeting.	24	vtt	00:02:12
	Our Chairperson is Denise.	04	vtt	00:02:12
	Let's look at how she starts things off.	08	vtt	00:02:20
	Well then, let's get started.	05	vtt	00:02:27
	Denise first makes sure everyone has an agenda or a list of the items to be discussed at the meeting.	20	vtt	00:02:38
	Then she asks someone to take minutes - or keep a record of the meeting.	15	vtt	00:02:38
	Then she announces the start of the meeting - she officially begins it.	13	vtt	00:02:50
	Let's practise some useful phrases for these three purposes.	09	vtt	00:02:55
	Does everyone have an agenda?	05	vtt	00:03:05
	Everybody should have received an agenda.	06	vtt	00:03:07
	Could somebody take the minutes please?	06	vtt	00:03:18
	What does the chairperson do after formally beginning the meeting?	10	vtt	00:03:25
	As you know, we needed to convene this meeting of the Capital Works committee to discuss a proposal for some urgent building work at our Southside plant.	27	vtt	00:03:36
	Now, you've all read the proposal, so without further ado, I'd like to open it up for discussion.	18	vtt	00:03:54
	Did you notice the different parts of that introduction by the chairperson?	12	vtt	00:03:57
	First, she thanked people for attending the meeting.	08	vtt	00:03:57
	Even though it may be their job, it's good practice to thank people for attending.	15	vtt	00:04:04
	Next, Denise states the objective of the meeting.	08	vtt	00:04:15
	Of course a meeting may have more than one objective, but often meetings have one main objective, or aim.	19	vtt	00:04:23
	The Chair should state the objective of the meeting.	09	vtt	00:04:23
	In this case it is to discuss a proposal, and to reach a decision.	14	vtt	00:04:30
	A proposal is simply a more formal word for a suggestion, but it is usually a detailed suggestion, in a written form.	22	vtt	00:04:43
	Let's look at some different ways of stating the objective of a meeting: The objective of today's meeting is to discuss the proposal We're here today to discuss a proposal The purpose of our meeting today is to discuss the following proposal The next job of the chair is to invite discussion.	52	vtt	00:05:06
	Let's look at how Denise does this: Now, you've all read the proposal, so without further ado, I'd like to open it up for discussion.	25	vtt	00:05:18
	Denise says, Without further ado, I'd like to open it up for discussion.	13	vtt	00:05:29
	Without further ado just means without any more procedure.	09	vtt	00:05:29
	We're going to discuss it straight away.	07	vtt	00:05:34
	Then she says, I'd like to open it up for discussion.	11	vtt	00:05:40
	'It' refers to the proposal she has just outlined.	09	vtt	00:05:45
	Try repeating this phrase after me: Let's open it up for discussion.	12	vtt	00:05:50
	Let's open it up for discussion Okay.	07	vtt	00:05:50
	Now, you can open a topic for general discussion - which means anyone can have a say.	17	vtt	00:05:56
	The Chairperson controls the discussion.	05	vtt	00:06:01
	Or, the Chairperson may invite particular people to speak.	09	vtt	00:06:01
	This is what Denise does Perhaps if we can start with you Tan - what's your view?	17	vtt	00:06:11
	Denise invites Tan to start the discussion.	07	vtt	00:06:15
	Let's practise a few phrases for asking someone to speak.	10	vtt	00:06:19
	Who'd like to start the discussion?	06	vtt	00:06:24
	What's your view Tan?	04	vtt	00:06:28
	Let's hear from Tan.	04	vtt	00:06:32
	Do you have a view on this Tan?	08	vtt	00:06:32
	Another job for the Chair is to summarise the discussion - that is, concisely state the main points made during the meeting.	22	vtt	00:06:44
	So, to sum up, I think we are all aware that some urgent work does need to be done, and we will need to work on a longer term plan for a major refit.	34	vtt	00:06:55
	Denise summarises the main points from the discussion.	08	vtt	00:06:55
	To introduce this she could use various phrases.	08	vtt	00:07:00
	Practise these: To sum up In summary So the main points are The outcome of a meeting might be a suggestion for an action.	24	vtt	00:07:16
	Depending on what kind of meeting it is, this could be called a motion, or a recommendation.	17	vtt	00:07:23
	In our example, Denise puts the recommendation of the meeting to a vote.	13	vtt	00:07:30
	Well, if there's no more discussion, let's put the recommendation to a vote.	13	vtt	00:07:30
	We're recommending tenders be called for the urgent work needed.	10	vtt	00:07:36
	All those in agreement?	04	vtt	00:07:41
	Anyone against?	02	vtt	00:07:44
	Notice how Denise controls the meeting.	06	vtt	00:07:46
	She doesn't say, Is there any more discussion?	08	vtt	00:07:49
	She says, If there's no more discussion, we'll put it to a vote.	13	vtt	00:07:55
	She is controlling the meeting by moving on.	08	vtt	00:07:55
	She then reiterates, or re-states the recommendation and calls for votes by saying, All those in favour that is, those who agree, and All those against.	26	vtt	00:08:08
	Votes are only taken in a formal meeting procedure.	09	vtt	00:08:16
	In a less formal procedure, a decision can be taken by consensus - by everyone agreeing during the discussion.	19	vtt	00:08:27
	Notice that after the vote, Denise says, Then that's agreed.	10	vtt	00:08:27
	A meeting agrees, or doesn't agree to a recommendation.	09	vtt	00:08:34
	If it's a more formal motion, we say the motion is carried or not carried.	15	vtt	00:08:44
	Often at the end of the meeting a chairperson will call for any other business, before they officially announce the meeting is closed, and announce the time for the next meeting.	31	vtt	00:08:49
