DE	EN	LENGTH	TAGS	TIME
	Well, I'm not convinced that the work is as urgent as this report suggests, so perhaps we should&hellip; Oh come on, the building is practically falling down!	27	vtt	00:00:18
	Sorry Lin, I don't think Tan had finished.	08	vtt	00:00:18
	We'll get to you in a minute.	07	vtt	00:00:22
	Sorry.	01	vtt	00:00:24
	As I was saying, perhaps we should get a second opinion before we spend any money.	16	vtt	00:00:29
	Thank you Tan.	03	vtt	00:00:29
	What's your opinion Walter?	04	vtt	00:00:33
	Well, as far as I'm concerned, it's a question of safety.	11	vtt	00:00:33
	So I think we should go ahead.	07	vtt	00:00:38
	Are you suggesting that someone could get hurt?	08	vtt	00:00:40
	In my opinion, yes.	04	vtt	00:00:40
	If you ask me, there is a serious risk of an accident.	12	vtt	00:00:40
	And it's not a recent problem.	06	vtt	00:00:45
	Are you implying we should have done something earlier?	09	vtt	00:00:50
	Much earlier.	02	vtt	00:00:50
	It's a real concern.	04	vtt	00:00:52
	Hear hear!	02	vtt	00:00:52
	In that case, I agree.	05	vtt	00:00:52
	We should do something now.	05	vtt	00:00:59
	I think so too.	04	vtt	00:00:59
	Thank you Walter.	03	vtt	00:00:59
	Well, if there's no, Excuse me Madame Chairperson.	08	vtt	00:01:06
	Yes Barbara.	02	vtt	00:01:07
	What about the problem with parking?	06	vtt	00:01:07
	There were no places again this morning.	07	vtt	00:01:11
	Maybe if you got to work on time.	08	vtt	00:01:13
	All comments through the chair if you don't mind Walter.	10	vtt	00:01:13
	Parking isn't on the agenda for this meeting.	08	vtt	00:01:18
	Perhaps you could suggest it for our next meeting Barbara.	10	vtt	00:01:18
	Well, if there's no more discussion, we'll put it to a vote.	12	vtt	00:01:26
	Today we're looking again at meetings.	06	vtt	00:01:26
	In meetings, especially formal meetings, it's important to keep the discussion relevant, and to the point.	16	vtt	00:01:43
	So we're looking at some words and phrases that a Chairperson might use to stop irrelevant discussion and interruptions.	19	vtt	00:01:49
	We're also looking at ways of stating an opinion, and agreeing or disagreeing.	13	vtt	00:02:00
	First of all, notice how Tan states that he doesn't agree with the report.	14	vtt	00:02:05
	Well, I'm not convinced that the work is as urgent as this report suggests.	14	vtt	00:02:10
	Tan says, I'm not convinced.	05	vtt	00:02:10
	He means he disagrees with the report.	07	vtt	00:02:10
	But by saying he's not convinced - he is leaving himself open to another point of view.	17	vtt	00:02:23
	Let's look at some phrases you can use to express disagreement.	11	vtt	00:02:28
	I'm afraid I'm not convinced.	05	vtt	00:02:33
	I don't entirely agree.	04	vtt	00:02:37
	I'm not sure about that.	05	vtt	00:02:41
	I can't agree with you there.	06	vtt	00:02:46
	I don't think that's quite correct.	06	vtt	00:02:46
	Notice that all of these ways of disagreeing are polite.	10	vtt	00:02:53
	If you use stronger terms of disagreement, it can sound rude, or argumentative.	13	vtt	00:03:01
	Well, I'm not convinced that the work is as urgent as this report suggests, so perhaps.	16	vtt	00:03:05
	Don't be ridiculous!	03	vtt	00:03:08
	Excuse me?	02	vtt	00:03:08
	When disagreeing, the speaker normally also gives a reason for their opinion, and may use an expression showing that it is their opinion.	23	vtt	00:03:18
	Listen to Walter.	03	vtt	00:03:18
	In my opinion, es.	04	vtt	00:03:28
	Let's practise some phrases you can use to introduce your opinion about something.	13	vtt	00:03:32
	In my opinion As far as I'm concerned If you ask me The way I see it is this.	19	vtt	00:03:45
	And of course you can simply state, I think or I believe.	12	vtt	00:03:56
	Notice that Tan asks for clarification of the point Walter makes.	11	vtt	00:03:56
	He wants to make sure he understands what Walter is saying.	11	vtt	00:04:05
	Let's look at some ways of seeking clarification, and checking understanding.	11	vtt	00:04:05
	Practise these with Tan.	04	vtt	00:04:11
	Are you saying that someone could get hurt?	08	vtt	00:04:24
	Do you mean someone could get hurt?	07	vtt	00:04:28
	Are you implying that someone could get hurt?	08	vtt	00:04:28
	One of the roles of the Chairperson is to make sure everyone gets to have their say.	17	vtt	00:04:35
	All discussion should go through the chair that is, people talk to the Chairperson, not to each other directly.	19	vtt	00:04:41
	So the Chairperson sometimes has to interrupt, or stop someone from speaking.	12	vtt	00:04:48
	Let's see how Denise does this.	06	vtt	00:04:55
	Oh come on, the building is practically falling down!	09	vtt	00:05:04
	By saying, I don't think Tan had finished, Denise is politely telling Lin that she shouldn't interrupt, and Lin apologises.	20	vtt	00:05:13
	But what should you do if someone keeps trying to interrupt?	11	vtt	00:05:20
	So perhaps, Oh come on - the building is practically falling down!	12	vtt	00:05:26
	Well it's obvious.	03	vtt	00:05:32
	Yes, but we do need to hear everyone's views on this.	11	vtt	00:05:35
	Let's just vote on it.	05	vtt	00:05:36
	All in good time Lin.	05	vtt	00:05:36
	Please go on Tan.	04	vtt	00:05:36
	Notice that the language the chairperson uses is always polite, but firm.	12	vtt	00:05:44
	She uses 'sorry' 'thank you' and 'please' as a way of respecting the other members of the committee, although she is in charge.	23	vtt	00:05:57
	On the other hand, there is a time factor it may be necessary to cut people short.	17	vtt	00:06:04
	and furthermore, if we look more closely at some of the estimates, we can see, Excuse me - sorry Tan, perhaps we should move on.	25	vtt	00:06:12
	I'm nearly finished.	03	vtt	00:06:13
	Yes but we do have to keep an eye on the time.	12	vtt	00:06:13
	Perhaps we can come back to that point later.	09	vtt	00:06:20
	I think it's quite important.	05	vtt	00:06:21
	It is important, but I think it's more important we hear everyone's views on this.	15	vtt	00:06:21
	Barbara?	01	vtt	00:06:29
