DE	EN	LENGTH	TAGS	TIME
	Now we're looking at the options for handling our on-line orders.	11	vtt	00:00:10
	They're going through the roof and frankly the lead-time for delivery is blowing out.	14	vtt	00:00:15
	We need to improve our performance in this area.	09	vtt	00:00:22
	Any suggestions?	02	vtt	00:00:25
	Well, as I see it, we have three options.	09	vtt	00:00:25
	The obvious one is to employ more people to do the job.	12	vtt	00:00:30
	Another alternative is to automate the system more - cut down on the physical handling.	15	vtt	00:00:37
	And the third option?	04	vtt	00:00:39
	We could outsource.	03	vtt	00:00:41
	What are the pros and cons?	06	vtt	00:00:43
	Well, looking at increasing staff versus automation, we have to consider the cost.	13	vtt	00:00:43
	Automating has a higher capital cost than putting on more staff.	11	vtt	00:00:49
	On the other hand, employing more people is more expensive over a long term.	14	vtt	00:00:55
	If we keep growing, it'll cost more in the long run.	11	vtt	00:01:01
	How likely is it that we'll see continued growth?	09	vtt	00:01:05
	I'd say it's a certainty.	05	vtt	00:01:07
	I'd say a high probability.	05	vtt	00:01:07
	Nothing's certain in business.	04	vtt	00:01:11
	So what about the third option?	06	vtt	00:01:13
	Outsourcing?	01	vtt	00:01:13
	Well, it does take the problem off our hands.	09	vtt	00:01:13
	But we lose contact with our customers.	07	vtt	00:01:19
	What about the bottom line?	05	vtt	00:01:21
	Outsourcing is the cheapest option, and the easiest - in the short term.	13	vtt	00:01:21
	But if we want to keep the operation in-house, the best option is automating our system.	16	vtt	00:01:26
	The only down side is, we're taking a risk that our business will keep growing.	15	vtt	00:01:36
	Which we hope it will.	05	vtt	00:01:38
	We certainly do.	03	vtt	00:01:38
	We've looked before at formal meetings.	06	vtt	00:01:38
	Today's meeting is a more informal one, to discuss a specific issue.	12	vtt	00:01:50
	The discussion is more free-flowing, or uncontrolled.	07	vtt	00:01:57
	Let's look first at some of the language used by Denise when she introduces the problem.	16	vtt	00:02:05
	Denise says, We're looking at the options.	07	vtt	00:02:24
	Options are different solutions, or answers, to a problem.	09	vtt	00:02:24
	What is the problem?	04	vtt	00:02:24
	On-line orders are going through the roof.	07	vtt	00:02:35
	On-line orders are orders for goods received through the internet, and if they're going through the roof, they are increasing in number very rapidly.	24	vtt	00:02:43
	The lead-time for delivery is the amount of time it takes from when the order is received to when it's delivered, and if it's blowing out - that time is becoming too long.	33	vtt	00:02:51
	We use the expression blowing out for something which is becoming too great, in a bad way.	17	vtt	00:03:06
	So to improve our performance means, in this case, to shorten the time it takes to deliver goods.	18	vtt	00:03:14
	Let's look at Tan's suggested options.	06	vtt	00:03:14
	Tan describes three options.	04	vtt	00:03:31
	First he lets us know that this is his opinion, by saying, As I see it.	16	vtt	00:03:42
	Practise with Tan some different ways of letting someone know that what you're stating is your opinion.	17	vtt	00:03:48
	As I see it, there are three options.	08	vtt	00:03:56
	In my opinion there are three options.	07	vtt	00:04:01
	From my point of view there are three options.	09	vtt	00:04:07
	As far as I'm concerned, there are three options.	09	vtt	00:04:07
	The three options are: employ more people, automate, and outsource.	10	vtt	00:04:18
	To outsource means to use an outside company.	08	vtt	00:04:18
	When presenting different options, we can order them by numbers, like this.	12	vtt	00:04:26
	Firstly, we could employ more people, secondly we could automate, and thirdly we could outsource.	15	vtt	00:04:41
	We can also use phrases, such as 'one option is to' and 'another option is to'.	16	vtt	00:04:51
	We can also use linking words, such as 'or' and 'alternatively'.	11	vtt	00:04:58
	Or, we can use a combination of these methods.	09	vtt	00:05:05
	Now let's look at the language used to discuss these options.	11	vtt	00:05:09
	When considering two options, we are comparing them.	08	vtt	00:05:27
	Barbara talks about increasing staff versus automation.	07	vtt	00:05:27
	She is saying that she is going to compare these two things.	12	vtt	00:05:35
	Another phrase she could use is 'as against'.	08	vtt	00:05:35
	Practise with her.	03	vtt	00:05:44
	Let's look at increased staff versus automation.	07	vtt	00:05:53
	Let's look at increased staff as against automation.	08	vtt	00:05:53
	When comparing two things, we use comparative adjectives.	08	vtt	00:06:05
	Listen to Barbara again, and see if you can hear the two comparative adjectives.	14	vtt	00:06:12
	She says automating has a higher capital cost than putting on more staff.	13	vtt	00:06:21
	Higher is a comparative adjective.	05	vtt	00:06:31
	We often use 'than' for the option that is being compared.	11	vtt	00:06:31
	Remember for words of longer than two syllables, we use 'more' for the comparative.	14	vtt	00:06:38
	Employing more people is more expensive.	06	vtt	00:06:45
	Because Barbara has already said what the second option is, automating, she doesn't need to say employing more people is more expensive than automating .	25	vtt	00:06:59
	Notice that she uses the phrase 'on the other hand'.	10	vtt	00:06:59
	This is used to introduce another side to an argument.	10	vtt	00:07:05
	Practise this with Barbara.	04	vtt	00:07:05
	On the one hand automation is expensive.	07	vtt	00:07:15
	On the other hand it's more efficient.	07	vtt	00:07:15
	Another way of comparing two ideas is to use linking words such as but , although and however .	19	vtt	00:07:30
	Automation is expensive, but it's more efficient.	07	vtt	00:07:37
	Although automation is expensive, it's more efficient.	07	vtt	00:07:46
	Automation is expensive, however it's more efficient.	07	vtt	00:07:53
	Now listen to the discussion about the likelihood of continued growth.	11	vtt	00:07:58
	Denise asks how likely continued growth is.	07	vtt	00:08:08
	In looking at words to describe likelihood, we can use these words: unlikely possible probable certain So we can say: It's unlikely It's possible And so on.	27	vtt	00:08:34
	We can also qualify these with words such as: very, quite, highly or reasonably It' s very unlikely It's quite possible Its highly probable It's reasonably certain And in a different kind of sentence, we can use them as nouns: It's a certainty It's a possibility There's a probability There's a high likelihood But we don't say, There's an unlikelihood.	60	vtt	00:09:10
	We say, There's no likelihood.	05	vtt	00:09:18
	Finally, look at what happens when we compare more than two options.	12	vtt	00:09:23
	Outsourcing is the cheapest option, and the easiest, in the short term.	12	vtt	00:09:23
	Did you hear the superlative adjectives used to compare more than two things.	13	vtt	00:09:38
	Listen again.	02	vtt	00:09:38
	There are three.	03	vtt	00:09:38
	Well our bottom line is that that's all we have time for today so I hope it's quite certain I'll see you next time for The Business of English.	29	vtt	00:10:00
