DE	EN	LENGTH	TAGS	TIME
	Now, I'd like to refer to the first graph.	09	vtt	00:00:09
	As you can see this is a bar graph measuring net sales over the first ten months of the year.	20	vtt	00:00:19
	You'll notice that sales rose steadily in the first few months, then there was a marked increase in April.	19	vtt	00:00:24
	They peaked in May at around 3.2 million, and levelled off, then there was a dramatic drop in the following month, followed by a significant increase in August, and this trend has continued up until the present.	37	vtt	00:00:41
	What was the reason for the sudden drop in July?	10	vtt	00:00:43
	This was mainly due to a drop off in air conditioner sales - so it's a seasonal effect.	18	vtt	00:00:49
	Could it be a consequence of the negative effect of the interest rate rise?	14	vtt	00:00:55
	Possibly.	01	vtt	00:00:55
	Now, if I could draw your attention to this next diagram.	11	vtt	00:00:55
	This is a line graph of sales - the blue line represents air conditioner sales, the red line shows heaters.	20	vtt	00:01:03
	As you'll note, air conditioner sales dropped steadily from January to July, bottoming out then, while heater sales experienced a sharp increase from March to June, then dropped markedly from June to July, then declined through to September, with a pronounced drop in October.	44	vtt	00:01:31
	Does this explain the fluctuation in total sales?	08	vtt	00:01:34
	Largely.	01	vtt	00:01:34
	If we look at this pie diagram, you can see that air conditioners and heaters together represent more than half of our total sales but they vary seasonally, while other appliances are fairly steady through the year.	37	vtt	00:01:48
	Well, we can't sell air conditioners when it's cold.	09	vtt	00:01:53
	What's the solution?	03	vtt	00:01:55
	Export to Europe and America!	05	vtt	00:01:58
	Easier said than done.	04	vtt	00:01:58
	Today we're looking at presenting information using charts and graphs.	10	vtt	00:02:09
	We saw three types of diagram: a bar or column graph a line graph and a pie chart.	18	vtt	00:02:19
	Look at how Tan introduced his presentation.	07	vtt	00:02:25
	Now, I'd like to refer to the first graph as you can see this is a bar graph measuring net sales over the first nine months of the year.	29	vtt	00:02:35
	Tan says, I'd like to refer to the first graph.	10	vtt	00:02:39
	When referring to a diagram or graph, first direct your audience's attention to that diagram.	15	vtt	00:02:46
	Practise with Tan some phrases to use for this.	09	vtt	00:02:50
	I'd like to refer to the first graph If we have a look at this graph If I could direct your attention to the graph Looking at the graph on the screen Let's look at the language Tan uses to describe what the graph shows.	45	vtt	00:03:14
	They peaked in May at around 3.2 million, and levelled off, then there was a dramatic drop in the following month, followed by a significant increase n August, and this trend has continued up until the present.	37	vtt	00:03:37
	Here's our graph: Tan said the sales rose steadily at first, then there was a marked increase in April.	19	vtt	00:03:46
	This levelled off, then there was a dramatic drop, and then a significant increase.	14	vtt	00:03:55
	In describing trends, we use two words - one of those words is a noun or verb.	17	vtt	00:04:03
	For example we may talk about an increase, or a decrease in numbers.	13	vtt	00:04:03
	Other words for an increase are rise, climb, improvement, upturn.	10	vtt	00:04:17
	Most of these words can also be used as a verb: to increase, to rise, to climb, to improve.	19	vtt	00:04:28
	Other words for a decrease are fall, decline, worsening, downturn.	10	vtt	00:04:36
	These also have verbs from them: to decrease, to fall, to decline, to worsen.	14	vtt	00:04:46
	So we say, there was an improvement in the figures for April, or the figures for April have improved.	19	vtt	00:04:54
	There has been a decline in sales since June, or sales since June have declined.	15	vtt	00:05:02
	But we often add more descriptive words -adjectives and adverbs.	10	vtt	00:05:02
	Remember adjectives go before nouns, and adverbs go after verbs.	10	vtt	00:05:16
	These describe the change in figures - was it big or small, fast or slow?	15	vtt	00:05:24
	Other words for a big change are significant, marked, massive, pronounced, substantial.	12	vtt	00:05:34
	Most adjectives can also be made into adverbs, just by adding -ly or -lee.	14	vtt	00:05:34
	There is no adverb for 'big', but informally we say 'a lot'.	12	vtt	00:05:48
	Other words for small are slight, insignificant, and their adverbs slightly, insignifantly.	12	vtt	00:05:58
	Other words for a fast or quick change are sharp, dramatic, sudden and again we add -ly for the adverbs.	20	vtt	00:06:10
	And for a slow or medium change, we can use steady or moderate, and the adverbs steadily and moderately.	19	vtt	00:06:20
	Now, try changing the phrases from noun phrases into verb phrases.	11	vtt	00:06:20
