DE	EN	LENGTH	TAGS	TIME
	Today I'm going to look at the results of our customer survey.	12	vtt	00:00:08
	First I'll go through the survey questions, then summarise the results, and finally I'll outline the conclusions.	17	vtt	00:00:22
	After that, there'll be time for questions and discussion.	09	vtt	00:00:22
	So, let's start with the survey questions.	07	vtt	00:00:30
	Turning to the results, as you can see from the diagram, most people decided what to buy when they saw the product at the showroom.	25	vtt	00:00:37
	About one third made their decision based on what the salesperson said.	12	vtt	00:00:42
	The others knew what they wanted to buy already.	09	vtt	00:00:42
	Most of those made their decision on the recommendation of a friend.	12	vtt	00:00:49
	Only a few said they relied on advertising.	08	vtt	00:01:00
	Let's move on to the conclusions.	06	vtt	00:01:00
	The first one is that it's very important that salespeople on the floor know about our products.	17	vtt	00:01:07
	Another is that after-sales service is critical.	07	vtt	00:01:07
	People who experience good after-sales service are more likely to recommend a brand.	13	vtt	00:01:15
	And finally, advertising - it's expensive, so we need to make sure we're getting results.	15	vtt	00:01:34
	In today's program, we look again at a presentation.	09	vtt	00:01:34
	Tan is presenting the results of a survey.	08	vtt	00:01:42
	Let's see how he does it.	06	vtt	00:01:42
	How does Tan start his presentation?	06	vtt	00:01:48
	When giving a presentation it's important to state clearly what you are going to talk about at the beginning.	19	vtt	00:01:58
	What is your topic?	04	vtt	00:02:02
	For this, Tan uses the future tense, I'm going to.	10	vtt	00:02:02
	He could also have said, I will.	07	vtt	00:02:10
	And instead of 'look at' he could have used other words: examine analyse review discuss After introducing the topic, what does Tan do next?	24	vtt	00:02:24
	Tan outlines the structure of his presentation.	07	vtt	00:02:36
	There were three parts.	04	vtt	00:02:36
	Notice how he signals this by using sequencing words: first, then, and finally.	13	vtt	00:02:51
	The structure of his talk is: Introduction, then part 1, survey questions part 2, survey results part 3, survey conclusions There's one more sequencing signal in his introduction.	28	vtt	00:03:04
	Did you hear it?	04	vtt	00:03:10
	Even though Tan said 'finally' he would talk about conclusions, he has something 'after that'.	15	vtt	00:03:19
	This is because the questions are not part of his presentation.	11	vtt	00:03:19
	He's telling his audience that after he's talked about conclusions, it will be time to ask questions.	17	vtt	00:03:32
	So sequencing words are very useful - they tell your audience how many parts are in your talk - and they can signal when you are moving from one topic to the next one.	34	vtt	00:03:38
	Sequencing words are words like firstly, secondly, thirdly, then, next, finally, after that, following that, and later on.	18	vtt	00:03:58
	Another type of signal can be used to show you are moving from one part of your talk to another.	20	vtt	00:04:08
	Here are three that Tan uses - practise them with him.	11	vtt	00:04:13
	So, let's start with the questions Turning to the results Let's move on to the conclusions When we speak in English, pauses and intonation are as important as the words we use - because they help people understand.	38	vtt	00:04:32
	Listen: Let's move on to the conclusions.	07	vtt	00:04:39
	Without pauses or intonation, it's much harder to understand - and it sounds boring.	14	vtt	00:04:47
	Let's add pauses.	03	vtt	00:04:55
	Pauses should come between sentences - here.	07	vtt	00:05:16
	But you'll notice small pauses in the middle of sentences - after phrases.	13	vtt	00:05:16
	These help the listener to follow what is being said.	10	vtt	00:05:26
	Now we add intonation and stress.	06	vtt	00:05:26
	Intonation is the way we pronounce sentences.	07	vtt	00:05:49
	Note the downward intonation at the end of sentences, Let's move on to the conclusions, about our products, After sales service is critical.	23	vtt	00:06:02
	Stress occurs in words, and sentences.	06	vtt	00:06:02
	In words, one syllable is stressed.	06	vtt	00:06:02
	The wrong stress makes it hard to understand.	08	vtt	00:06:10
	So: conclusion, not conclusion products, not products Even more important in speaking, is to stress the important words in a sentence.	21	vtt	00:06:24
	This helps the meaning of what you are saying - it gives emphasis.	13	vtt	00:06:35
	So Tan says, Let's move on to the conclusions, stressing 'conclusions' because it's the key word in this sentence.	19	vtt	00:06:43
	The other words stressed are the key words for understanding.	10	vtt	00:06:50
	Let's listen to Tan once more, noting the pauses, intonation, word and sentence stress.	14	vtt	00:06:58
	Let's look at the diagram, and how we can describe numbers, or statistics.	13	vtt	00:07:20
	First, Tan says, most people decided what to buy at the showroom.	12	vtt	00:07:28
	Because more people decided at the showroom than at home, we can say most, the majority, or over half.	19	vtt	00:07:37
	To describe people deciding at home, which is less than fifty percent, we could say a minority or less than half .	22	vtt	00:07:47
	Looking at the reasons for decisions, we are comparing four groups of people.	13	vtt	00:07:47
	We can use descriptive words such as many, some, a few.	11	vtt	00:07:52
	And we can say the greatest number or the highest percentage .	12	vtt	00:08:03
	The greatest number of people went by the salesperson's recommendation.	10	vtt	00:08:08
	We could say only a few relied on advertising.	09	vtt	00:08:13
	And we can use words like approximately, about, nearly, over and under.	12	vtt	00:08:22
	approximately one third about a quarter over a quarter under a third Finally, let's look at Tan's conclusions.	18	vtt	00:08:31
	The first one is that it's important that salespeople on the floor know about our products.	16	vtt	00:08:38
	Notice again how Tan uses signals for his conclusions.	09	vtt	00:09:00
	His audience can clearly hear that there are three.	09	vtt	00:09:08
	He says: the first one another and finally Notice also how Tan uses adjectives to make his points.	18	vtt	00:09:17
	You shouldn't use the same words all the time.	09	vtt	00:09:24
	What are the adjectives?	04	vtt	00:09:24
	They are important, critical and expensive.	06	vtt	00:09:34
	So, to summarise: State your topic.	06	vtt	00:09:39
	Outline the structure of your presentation.	06	vtt	00:09:39
	Use signalling and sequencing words.	05	vtt	00:09:45
	Pay attention to intonation and stress.	06	vtt	00:09:45
	Use descriptive words and adjectives, not just numbers.	08	vtt	00:09:51
	And in conclusion, that's all today on The Business of English.	11	vtt	00:09:56
