DE	EN	LEN	ROW	TIME
Unser Hauptreferent ist ein Mann, der Ihnen sicher allen sehr gut bekannt ist.	Our keynote speaker is a man who, I'm sure, is very well known to all of you.	17	10	00:00:08a
Er ist Professor für Fruitology an der Dubbo Universität.	He's Professor of Fruitology at Dubbo University	16	20	00:00:14a
und hat viele Bücher zum Thema Tropenfrüchte geschrieben.	and has written many books on the subject of tropical fruit.	2	30	00:00:20a
Also ohne weitere Umstände,	So without further ado,	11	40	00:00:20b
ich möchte Ihnen unseren Hauptredner, Dr. Sam Eriks, vorstellen.	I'd like to introduce our keynote speaker, Doctor Sam Eriks.	3	50	00:00:28a
Vielen Dank, Denise.	Thankyou Denise.	2	60	00:00:28b
Die ehrenwerte Judith Bryant, Ministerin für Handel,	The Honourable Judith Bryant, Minister for Trade,	4	70	00:00:28c
Professor Eric Vogel, Professor für Wirtschaftswissenschaften an der Wagga-Universität,	Professor Eric Vogel, Professor of Economics at Wagga University,	6	80	00:00:37a
verehrte Gäste, meine Damen und Herren.	distinguished guests, ladies and gentlemen.	5	100	00:00:42a
Das heutige Thema, warum Bananen krumm sind, ist ein sehr wichtiges	Today's topic, why bananas are bent, is a very significant one	12	110	00:00:49a
sowohl im Hinblick auf den internationalen Handel als auch auf die Kultur.	in terms both of, international trade, and culture.	3	120	00:00:49b
Im Nachdenken über das Thema hielt ich es für angebracht	In thinking about the topic, I felt it would be appropriate	5	130	00:00:55a
kurz auf die Geschichte der Bananen und des Bananenanbaus einzugehen,	to address briefly the history of bananas and banana farming,	16	140	00:01:00a
die vielen Qualitäten der Bananen,	the many qualities of bananas,	5	150	00:01:00b
sowohl positive als auch negative,	both positive and negative,	4	160	00:01:00c
und natürlich die Verwendung der Banane zu untersuchen.	and of course examine the uses of the banana.	9	170	00:01:06a
Aber zuerst lassen Sie mich Ihnen eine Geschichte über eine Banane erzählen.	But first let me tell you a story about a banana.	11	180	00:01:14a
Meine Damen und Herren, ich hoffe, ich konnte einige Missverständnisse ausräumen,	Ladies and gentlemen, I hope, I've been able to clear up a few misconceptions,	14	190	00:01:14b
und Ihnen ein paar neue Ideen hinterlassen, wie wir Bananen in Zukunft sehen könnten.	and leave you with some new ideas about how we might view bananas in the future.	16	200	00:01:25a
Wir haben beim Blick auf ihre Geschichte gesehen,	We've seen, in looking at their history,	7	210	00:01:25b
dass Bananen in vielen Kulturen eine bedeutende Rolle spielen.	that bananas have a significant role in many cultures.	9	220	00:01:31a
Ich habe auch ihre positiven Ernährungseigenschaften festgestellt.	I've also noted their positive nutritional qualities.	7	230	00:01:31b
Und bei der Beantwortung der Hauptfrage, warum Bananen krumm sind,	And in addressing the main question, why bananas are bent,	6	240	00:01:38a
haben wir gelernt, dass die Gründe dafür vielfältig und komplex sind.	we've learned that the reasons are many and complex.	13	250	00:01:44a
Frau Vorsitzende, ich danke Ihnen für die Gelegenheit, heute auf der Konferenz sprechen zu dürfen,	Madam Chair, thank you for the opportunity to address the conference today,	12	260	00:01:44b
und ich danke Ihnen, meine Damen und Herren, für Ihre freundliche Aufmerksamkeit.	and thank you ladies and gentleman for your kind attention.	10	270	00:01:50a
	Making a formal speech to an audience is a scary thing for many people -	15	280	00:02:02a
	even more so if it's in a language that is not your first language.	14	290	00:02:08a
	What are the things you can do to prepare a formal speech in English?	14	300	00:02:08b
	First of all, let's look at the structure of the speech.	11	310	00:02:15a
	In a formal situation, like a keynote address,	8	320	00:02:21a
	the speaker will be introduced by someone else.	8	330	00:02:26a
	Our keynote speaker is a man who I'm sure is very well known to all of you.	17	340	00:02:26b
	He's Professor of Fruitology at Dubbo University and has written many books on the subject of	16	350	00:02:32a
	tropical fruit.	2	360	00:02:38a
	When introducing a speaker,	4	370	00:02:38b
	research their background and accomplishments -	6	380	00:02:41a
	that is, the important things they've done,	7	390	00:02:41b
	such as books they may have written,	7	400	00:02:47a
	important positions they've filled,	4	410	00:02:47b
	and of course their proper title or qualifications,	8	420	00:02:52a
	such as Professor.	3	430	00:02:57a
	Here are some useful phrases to use when introducing a speaker.	11	440	00:02:57b
	Practise them with Denise:	4	450	00:03:04a
	Our next speaker is well known to all of you.	10	460	00:03:09a
	Our next speaker needs no introduction.	6	470	00:03:12a
	Without further ado, I'd like to introduce Please make him welcome,	11	480	00:03:21a
	Doctor Sam Eriks.	3	490	00:03:21b
	When giving a formal speech to an audience,	8	500	00:03:30a
	we need to be aware of protocol.	7	510	00:03:30b
	Protocol means the proper or customary way of doing things in formal situations.	13	520	00:03:37a
	Part of the protocol for a formal speech is addressing the audience at the beginning.	15	530	00:03:44a
	A keynote speaker needs to know who the important people are at the meeting,	14	540	00:03:50a
	and address them using their formal titles,	7	550	00:03:50b
	starting with the most important people.	6	560	00:03:57a
	Thank you Denise.	3	570	00:03:58a
	The Honourable Judith Bryant,	4	580	00:03:58b
	Minister for Trade, Professor Eric Vogel,	6	590	00:03:58c
	Professor of economics at Wagga University,	6	600	00:04:03a
	distinguished guests, ladies and gentlemen.	5	610	00:04:15a
	If there is a representative of government,	7	620	00:04:15b
	such as a minister, they would be acknowledged first,	9	630	00:04:19a
	then any other people of particular note.	7	640	00:04:23a
	Include their title, name and position.	6	650	00:04:28a
	Then he addresses 'distinguished guests' -	6	660	00:04:28b
	this can include anyone who has been invited to attend the event.	12	670	00:04:35a
